Sexo productor;Area (Ha);Total arboles patron;Total de injertos;Edad Promedio plantas patron;Edad promedio plantas njerto;Edad promedio plantas patron;Edad promedio plantas injerto;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
Hombre;0.7;500;0;11;0;12.8;;12.8;No;No;No;No;Si;Si;No;No;13.3917;-88.5838;665.9;No;Si;Si;Si;Si;Si;Si;0.26488;5.77
Hombre;11;10700;300;4;3;4;3;4;No;Si;No;No;No;No;No;No;13.5139;-88.518175;827;Si;Si;Si;No;Si;Si;Si;1.35872;7.542856
Hombre;0.6;550;0;8;0;8;;8;No;Si;No;No;No;No;Si;No;13.618116;-88.8625;922;No;Si;Si;Si;Si;Si;Si;0.91344;5.43
Hombre;2;900;0;4;0;4;;4;No;Si;No;No;No;No;No;No;13.90877;-89.5823;1022;No;Si;Si;Si;Si;Si;No;2.09264;11.067479
Mujer;0.35;300;0;4;0;4;;4;No;Si;No;No;No;No;No;No;13.508608;-88.51662;943;No;Si;Si;No;Si;No;Si;0.4576;2.526303
Hombre;1;250;0;8;0;8;;8;Si;No;No;No;No;No;No;No;13.7553;-89.4017;475;No;Si;Si;Si;No;No;No;1.59192;3.385966
Hombre;6;3000;0;7;0;7;;7;No;Si;No;No;No;No;Si;No;13.6093246;-88.886038;810;No;No;Si;No;Si;No;Si;3.12752;18.08
Hombre;0.13;150;0;7;0;7;;7;No;No;No;No;No;Si;No;No;13.5601;-88.0951;166;No;Si;Si;Si;Si;Si;Si;0.2728;1.201681
Hombre;0.7;400;0;5;0;5;;5;No;Si;No;No;No;Si;Si;No;14.1506246;-89.660322;879;No;Si;Si;Si;Si;Si;No;1.3156;5.083109
Mujer;0.6;50;0;4;0;4;;4;No;Si;No;No;No;Si;No;No;13.4975317;-88.383035;620;No;Si;Si;Si;Si;No;Si;0.09856;0.7
