Sexo productor,Área (Ha),Edad promedio plantas,Densidad (plantas/Ha),Tipo suelo,Latitud,Longitud,Altura,Porcentaje injertación,Aplica poda,Maneja sombra,Fertilización orgánica,Fertilización química,Presencia de plagas/ enfermedades,Recibe AT,Perdidas (qq),Produccion efectiva (qq)
Hombre,3.06,6,653.59,"Latosoles Arcillo Rojizos, Andisoles",13.9117,-89.829,849,0,1,1,Si,Si,0,0,6.59736,31.10096
Hombre,0.6,5,1000,"Latosoles Arcillo Rojizos, Andisoles",13.477103,-88.559569,812.713379,0,1,1,Si,Si,0,0,0.30888,1.42648
Hombre,2.19,6,639.27,"Latosoles Arcillo Rojizos, Andisoles",13.9081,-89.8261,882,0,1,1,Si,Si,0,0,2.34168,10.46584
Hombre,0.4,6,875,"Latosoles Arcillo Rojizos, Andisoles",13.9115,-89.8296,858,0,1,1,Si,Si,0,0,0.07656,0.308
Hombre,0.7,5,1000,Andisoles,13.9392,-89.7368,854,0,1,1,Si,Si,0,0,0.47608,2.50008
Hombre,0.7,5,571.43,Andisoles,13.9206,-89.7431,1081,0,1,1,Si,Si,0,0,0.30888,1.95976
Hombre,1.17,6,683.76,Andisoles,13.9393,-89.7366,850,0,1,1,Si,Si,0,0,0.35288,1.73536
Hombre,1.88,6,851.06,"Latosoles Arcillo Rojizos, Andisoles",13.952,-89.7535,792,0,1,1,Si,Si,0,0,0.19712,0.836
Hombre,0.45,6,888.89,Andisoles,13.472511,-88.554775,844.755371,0,1,1,Si,Si,0,0,0.4048,2.30384
Hombre,1.4,7,571.43,Latosoles Arcillo Rojizos,13.477184,-88.557883,838.891113,0,1,1,Si,Si,0,0,0.26136,1.13608
Hombre,1.92,5,833.33,"Latosoles Arcillo Rojizos, Andisoles",13.947,-89.7549,778,0,1,1,Si,Si,0,0,0.1672,0.88792
Hombre,4.75,5,673.68,"Latosoles Arcillo Rojizos, Andisoles",13.474195,-88.562206,745.705078,0,1,1,Si,Si,0,0,0.23936,1.45112
Hombre,2.1,5,285.71,Andisoles,13.480453,-88.5546,923.788818,0,1,1,Si,Si,0,0,0.49984,2.99208
Mujer,0.35,4,785.71,"Latosoles Arcillo Rojizos, Andisoles",13.7855,-89.8738,458,0,1,0,Si,Si,0,0,0.176,1.78528
Mujer,1.28,7,234.38,"Latosoles Arcillo Rojizos, Andisoles",13.8022,-89.8831,624,0,1,0,Si,Si,0,0,0.20328,1.9288
Hombre,0.92,7,108.7,"Latosoles Arcillo Rojizos, Andisoles",13.8014,-89.8762,562,0,1,0,Si,Si,0,0,0.1144,0.81752
Hombre,0.36,7,583.33,Andisoles,13.792,-89.8628,586,0,1,0,Si,Si,0,0,0.10296,0.67936
Hombre,1.31,5,610.69,"Latosoles Arcillo Rojizos, Andisoles",13.7977,-89.8781,552,0,1,0,Si,Si,0,0,3.96088,2.37
Hombre,1.4,8,857.14,"Latosoles Arcillosos Acidos, Latosoles Arcillo Rojizos",13.9275,-89.8129,758,0,0,1,Si,Si,1,0,1.81192,9.56208
Hombre,0.13,5,769.23,Andisoles,13.80113,-89.86276,624,0,1,0,Si,Si,0,0,0.24112,1.16648
Hombre,1.58,5,1012.66,Andisoles,13.8066,-89.8619,693,0,1,1,Si,Si,0,0,0.39512,2.7392
Hombre,0.7,5.6,542.86,"Latosoles Arcillo Rojizos, Andisoles",13.7894,-89.8481,576,11.8,1,0,Si,Si,0,0,0.10648,1.0136
Mujer,1,7,600,"Latosoles Arcillo Rojizos, Andisoles",13.8067,-89.8786,601,0,1,0,Si,Si,0,0,0.09856,1.16472
Hombre,0.7,7,857.14,Andisoles,13.814,-89.8703,768,0,1,1,Si,Si,0,0,0.3432,2.13888
Mujer,1.31,8,763.36,"Latosoles Arcillo Rojizos, Andisoles",13.7827,-89.8502,631,0,1,1,Si,Si,0,0,0.54824,5.27512
Hombre,3.12,5,641.03,"Latosoles Arcillo Rojizos, Andisoles",13.7999,-89.8777,545,0,1,1,Si,Si,0,0,0.71896,7.70448
Hombre,1.4,6,714.29,"Latosoles Arcillo Rojizos, Andisoles",13.71254,-89.440208,537.973022,0,0,1,Si,Si,0,0,0.2816,1.79432
Hombre,0.7,5,800,"Latosoles Arcillo Rojizos, Andisoles",13.8214,-89.9454,635,0,0,1,Si,Si,0,0,0.15752,0.9768
Hombre,0.26,6,857.14,"Latosoles Arcillo Rojizos, Andisoles",13.8211,-89.9452,629,0,0,1,Si,Si,0,0,0.09504,0.52448
Hombre,2.1,6,666.67,"Latosoles Arcillo Rojizos, Andisoles",13.8192,-89.9463,616,0,0,1,Si,Si,0,0,0.1232,0.82456
Hombre,1.27,6,629.92,"Latosoles Arcillo Rojizos, Andisoles",13.8215,-89.9481,660,0,0,1,Si,Si,0,0,0.11792,0.72776
Hombre,0.35,6,1200,"Latosoles Arcillo Rojizos, Andisoles",13.760142,-89.730071,469,0,0,1,Si,Si,0,0,0.20328,1.37016
Hombre,0.26,6,1000,"Latosoles Arcillo Rojizos, Andisoles",13.8138,-89.9584,459,0,0,1,Si,Si,0,0,0.12496,0.748
Hombre,0.24,5,1142.86,"Latosoles Arcillo Rojizos, Andisoles",13.8094,-89.956,538,0,1,1,Si,Si,1,0,0.13376,0.83688
Hombre,0.28,5,1071.43,"Latosoles Arcillo Rojizos, Andisoles",13.8165,-89.9724,292,0,0,1,Si,Si,0,0,0.06248,0.30712
Hombre,0.09,6,1000,"Latosoles Arcillo Rojizos, Andisoles",13.747304,-89.727526,416.87793,0,1,1,Si,Si,0,0,0.05016,0.21912
Hombre,0.35,5,428.57,"Latosoles Arcillo Rojizos, Andisoles",13.8124,-89.9586,458,0,1,1,Si,Si,1,0,0.13992,0.89056
Hombre,0.66,5,757.58,"Latosoles Arcillo Rojizos, Andisoles",13.747552,-89.727462,408.569824,0,1,1,Si,Si,1,0,0.22352,1.41944
Hombre,0.46,5,869.57,"Latosoles Arcillo Rojizos, Andisoles",13.813,-89.9569,522,0,1,1,Si,Si,1,0,0.15488,1.00056
Mujer,0.5,5,600,Andisoles,13.8088,-89.7984,948,0,1,0,Si,Si,0,0,0.2112,1.47056
Hombre,0.35,8,1000,Andisoles,13.8113,-89.7988,978,0,1,0,Si,Si,0,0,0.24376,1.25488
Hombre,1.66,5,602.41,Andisoles,13.8137,-89.8001,1012,0,1,0,Si,Si,0,0,3.02368,2.9568
Hombre,0.69,5,579.71,Andisoles,13.8136,-89.7979,1015,0,1,0,Si,Si,0,0,0.25256,1.23992
Mujer,0.65,5,615.38,Andisoles,13.8154,-89.7979,1030,0,1,0,Si,Si,0,0,0.26928,1.50328
Mujer,0.44,8,654.55,Andisoles,13.8138,-89.7988,1018,0,1,0,No,Si,0,0,0.27192,1.00736
Hombre,0.49,5,612.24,Andisoles,13.8123,-89.8,983,0,1,1,Si,Si,0,0,0.12232,1.09976
Hombre,7.22,5,831.02,"Latosoles Arcillo Rojizos, Andisoles, Grumosoles",14.1318,-89.6646,886,0,1,0,Si,Si,0,0,0.4928,1.40536
Hombre,1.26,7,793.65,Latosoles Arcillo Rojizos,14.0077,-89.6999,687,100,1,0,Si,Si,0,1,1.936,5.53344
Mujer,2.12,7,754.72,Latosoles Arcillo Rojizos,14.0125,-89.7003,676,0,1,0,Si,Si,0,0,1.77848,5.07584
Hombre,11.26,4,920,"Litosoles, Andisoles",13.8993,-89.5712,1064,0,1,0,Si,Si,0,0,4.95176,14.02368
Hombre,5.03,4.5,715.71,"Latosoles Arcillosos Acidos, Latosoles Arcillo Rojizos",13.7293,-89.5007,640,0,1,0,Si,Si,1,0,0.9592,4.46072
Mujer,0.35,5,714.29,"Latosoles Arcillo Rojizos, Andisoles, Aluviales",13.7704,-89.4749,494,0,1,0,Si,Si,0,0,0.18216,0.6732
Hombre,0.3,8,1000,"Latosoles Arcillo Rojizos, Andisoles",13.7469,-89.6111,555,0,1,1,Si,No,1,1,1.20208,4.85
Hombre,2.1,4.2,738.1,"Latosoles Arcillo Rojizos, Andisoles",13.7437,-89.525,600,41.9,1,0,Si,No,1,0,0.75416,2.97616
Hombre,2.1,7.4,642.86,"Andisoles, Aluviales",13.7411,-89.669,399,29.6,1,1,Si,No,1,1,3.49712,14.38
Hombre,1,7,925,"Andisoles, Litosoles",13.7758,-89.6569,600,0,1,1,Si,No,1,1,1.97824,6.11776
Hombre,17.34,0,700.69,Latosoles Arcillo Rojizos,13.6967,-89.5371,700,0,1,0,Si,Si,1,0,0.37224,1.53296
Hombre,5.44,0,827.21,Latosoles Arcillo Rojizos,13.6759,-89.5517,590,0,1,0,Si,No,0,0,0.34672,1.5576
Hombre,3.5,4,885.71,Latosoles Arcillo Rojizos,13.6795,-89.5505,588,0,1,1,Si,Si,1,0,1.6016,8.0784
Hombre,1.8,0,1000,Latosoles Arcillo Rojizos,13.6913,-89.5295,726,0,1,1,Si,No,0,0,0.21648,0.93368
Hombre,4.82,2.4,912.86,Latosoles Arcillo Rojizos,13.6861,-89.5247,791,0,1,0,Si,No,1,0,0.55352,2.15864
Hombre,1.75,0,900,Latosoles Arcillo Rojizos,13.6815,-89.5367,663,0,1,0,Si,No,1,0,0.1848,0.6424
Hombre,0.7,0,214.29,Latosoles Arcillo Rojizos,13.6664,-89.5624,646,0,1,0,Si,Si,0,0,0.13992,0.594
Hombre,11.9,5.6,743.7,Andisoles,13.7961,-89.7757,713,0,1,1,Si,Si,0,0,7.91824,48.08408
Hombre,4.2,7,642.86,Andisoles,13.7976,-89.7758,709,0,1,1,Si,Si,0,0,6.95024,29.8672
Hombre,2.26,7,696.9,"Latosoles Arcillosos Acidos, Latosoles Arcillo Rojizos",13.7856,-89.7664,711,0,1,1,Si,Si,0,0,1.98352,9.98536
Hombre,1.71,7,933.92,"Latosoles Arcillosos Acidos, Latosoles Arcillo Rojizos",13.7752,-89.7682,644,0,1,1,Si,Si,0,0,3.66696,16.17176
Hombre,2.27,7,644.05,"Latosoles Arcillo Rojizos, Andisoles",13.7755,-89.7711,650,0,1,1,Si,Si,0,0,3.2164,13.88992
Hombre,0.7,6,892.86,Andisoles,13.7993,-89.782,759,0,1,1,Si,Si,0,0,1.21352,6.07464
Hombre,1.4,6.1,571.43,"Andisoles, Litosoles",13.46779,-88.545317,923,43.8,1,1,Si,No,0,1,0.12408,3.5
Hombre,4.89,5.9,941.92,"Latosoles Arcillosos Acidos, Latosoles Arcillo Rojizos",13.665129,-89.439548,1011.89025,0,1,0,No,Si,0,1,6.5736,33.352
Hombre,2.5,5,800,"Latosoles Arcillosos Acidos, Latosoles Arcillo Rojizos",13.75422,-88.209925,1025.59863,0,1,1,Si,Si,0,1,3.34136,17.38
Mujer,1.05,5,520,"Andisoles, Litosoles",13.429705,-88.562684,339.802673,48.7,1,1,Si,Si,0,1,0.11968,2.14
Mujer,0.7,5,1071.43,"Latosoles Arcillo Rojizos, Grumosoles, Regosoles y",13.635396,-89.861346,2.651794,0,0,1,Si,Si,1,0,0.21032,1.83288
Mujer,0.7,4,571.43,"Latosoles Arcillosos Acidos, Latosoles Arcillo Rojizos",13.742267,-88.215063,971,0,1,1,Si,Si,0,1,0.79112,3.564
Hombre,1.05,4.9,304.76,Andisoles,13.589253,-88.953141,447,37.5,1,1,Si,Si,0,0,0.1848,1.23
Hombre,2.1,6.3,571.43,"Andisoles, Litosoles",13.50385,-88.519525,978,25,1,1,Si,Si,0,0,0.1276,4.85
Hombre,0.2,4,1000,"Andisoles, Litiosoles",13.452784,-88.303776,777.95485,0,1,1,Si,Si,0,1,0.02992,0.15
Mujer,0.35,6,571.43,"Latosoles Arcillo Rojizos, Andisoles",13.786291,-89.832472,627.541992,0,0,1,Si,Si,0,0,0.15048,0.85536
Hombre,1.05,6.6,476.19,Andisoles,13.609161,-88.915679,718,20,1,1,Si,Si,0,1,0.15664,2.18
Mujer,0.45,4,666.67,"Latosoles Arcillo Rojizos, Grumosoles",13.727181,-88.144726,632.787759,0,1,1,Si,Si,0,1,0.15928,0.484
Hombre,0.2,6,1000,Latosoles Arcillo Rojizos,13.437036,-88.682399,34.338257,0,1,1,Si,No,1,1,0.4136,1.32
Mujer,2.8,4,714.29,Latosoles Arcillo Rojizos,13.423105,-88.642712,140.851196,75,1,0,Si,Si,0,1,0.17336,3.45
Mujer,2.25,4.9,1111.11,"Latosoles Arcillo Rojizos, Latosoles Arcillosos Acidos",13.78356,-88.266516,863.904785,8,1,1,Si,Si,0,1,3.60624,18.05
Hombre,0.09,5,1111.11,"Andisoles, Litosoles",13.431652,-88.227812,363.639282,0,1,1,Si,Si,1,1,0.12936,0.65
Hombre,0.95,6,1080,"Latosoles Arcillo Rojizos, Aluviales",13.77131,-90.094228,3.672699,0,0,1,Si,Si,1,0,0.24816,1.57696
Hombre,0.49,5,102.04,Aluviales,13.3822,-89.0621,14,0,1,1,Si,Si,0,0,0.066,0.41
