Sexo_productor;Area_Ha;Cantidad_plantas_patron;Cantidad_plantas_injerto;Edad_plantas_patron;Edad_plantas_injerto;Densidad_plantas_Ha;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_injertacion;Injertacion;Aplica_poda;Maneja_sombra;Fertilizacion_organica;Fertilizacion_quimica;Plagas_enfermedades;AT;Perdidas_qq;Produccion_qq
0;0.7;500.0;0.0;12.0;;714.29;0;0;0;0;1;1;0;0;13.3917;-88.5838;665.9;0.00;0;1;1;1;0;1;1;0.28512;5.26
0;0.4;200.0;0.0;3.0;;500.00;1;1;0;0;0;0;0;0;13.736948;-89.419094;480;0.00;0;1;0;1;0;0;0;0.04928;0.26928
0;1;1000.0;0.0;7.0;;1000.00;0;1;0;0;0;0;0;0;13.609751;-88.93786;607;0.00;0;;;;;;1;0.37664;3.11
0;0.6;550.0;0.0;8.0;;916.67;0;1;0;0;0;0;1;0;13.618116;-88.8625;922;0.00;0;1;1;1;1;1;0;0.49456;3.09
0;2;900.0;0.0;4.0;;450.00;0;1;0;0;0;0;0;0;13.90877;-89.5823;1022;0.00;0;1;1;1;1;1;0;1.34552;3.85792
1;0.35;300.0;0.0;4.0;;857.14;0;1;0;0;0;0;0;0;13.508608;-88.51662;943;0.00;0;1;1;0;1;1;1;0.07656;0.41976
0;1;250.0;0.0;8.0;;250.00;1;0;0;0;0;0;0;0;13.7553;-89.4017;475;0.00;0;1;0;0;1;1;0;0.85536;3.41792
0;2.8;0.0;200.0;;2.0;71.43;0;0;0;0;1;1;0;0;13.5883;-89.2336;624;100.00;1;1;1;1;0;1;0;1.4608;3.45312
0;2.1;800.0;0.0;5.0;;380.95;0;0;0;0;1;1;0;0;13.7769631;-89.118502;616;0.00;0;;;;;;0;2.97;2.354
0;6;3000.0;0.0;7.0;;500.00;0;1;0;0;0;0;1;0;13.6093246;-88.886038;810;0.00;0;1;0;1;0;0;1;1.72744;10.9
0;0.13;150.0;0.0;7.0;;1153.85;0;0;0;0;0;1;0;0;13.5601;-88.0951;166;0.00;0;1;1;1;0;1;1;0.11176;1
0;0.7;400.0;0.0;5.0;;571.43;0;1;0;0;0;1;1;0;14.1506246;-89.660322;879;0.00;0;1;1;1;1;1;0;0.95568;2.72536
1;0.6;50.0;0.0;4.0;;83.33;0;1;0;0;0;1;0;0;13.4975317;-88.383035;620;0.00;0;1;1;0;1;1;1;0.176;0.9
0;1.2;1200.0;0.0;6.0;;1000.00;0;0;0;0;1;1;0;0;13.75793722;-88.95573279;660;0.00;0;1;1;1;1;1;1;0.68024;4.33
0;0.35;350.0;0.0;5.0;;1000.00;0;1;0;0;0;1;0;0;13.6018868;-89.468457;688;0.00;0;1;1;1;1;1;0;0.55;0.7128
0;1;150.0;50.0;32.0;5.0;200.00;0;1;0;0;0;0;0;0;13.51788167;-88.87308833;593.9;25.00;1;1;1;1;1;1;1;1.10792;13.92
0;0.75;200.0;0.0;11.0;;266.67;0;0;0;0;1;1;0;0;13.6015379;-88.925054;666;0.00;0;;;;;;1;0.2288;4.446667
0;1;50.0;0.0;6.0;;50.00;0;1;0;0;0;0;0;0;13.6003933;-88.957509;497;0.00;0;1;1;1;1;1;1;0.30184;2.35
0;2.5;2500.0;0.0;4.0;;1000.00;0;1;0;0;0;0;0;0;13.650906;-88.95099;569;0.00;0;;;;;;1;0.13288;4.57
0;11.5;7500.0;4000.0;1.6;4.0;1000.00;0;0;0;0;0;1;0;0;13.9329243;-88.634224;769;34.78;1;1;1;1;1;1;1;1.36136;8.25904
0;0.7;300.0;0.0;5.0;;428.57;0;1;0;0;0;1;0;0;13.511638;-89.438829;47;0.00;0;1;1;1;1;1;0;0.132;0.3036
