Fecha;Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
1;0;0.7;500;12;0;0;0;0;1;1;0;0;13.3917;-88.5838;665.9;0;1;1;1;0;1;1;0.28512;5.26
1;0;0.4;200;3;1;1;0;0;0;0;0;0;13.736948;-89.419094;480;0;1;0;1;0;0;0;0.04928;0.26928
1;0;0.6;550;8;0;1;0;0;0;0;1;0;13.618116;-88.8625;922;0;1;1;1;1;1;0;0.49456;3.09
1;0;2;900;4;0;1;0;0;0;0;0;0;13.90877;-89.5823;1022;0;1;1;1;1;1;0;1.34552;3.85792
1;1;0.35;300;4;0;1;0;0;0;0;0;0;13.508608;-88.51662;943;0;1;1;0;1;1;1;0.07656;0.41976
1;0;1;250;8;1;0;0;0;0;0;0;0;13.7553;-89.4017;475;0;1;0;0;1;1;0;0.85536;3.41792
1;0;2.8;200;2;0;0;0;0;1;1;0;0;13.5883;-89.2336;624;100;1;1;1;0;1;0;1.4608;3.45312
1;0;0.13;150;7;0;0;0;0;0;1;0;0;13.5601;-88.0951;166;0;1;1;1;0;1;1;0.11176;1
1;0;0.7;400;5;0;1;0;0;0;1;1;0;14.1506246;-89.660322;879;0;1;1;1;1;1;0;0.95568;2.72536
1;1;0.6;50;4;0;1;0;0;0;1;0;0;13.4975317;-88.383035;620;0;1;1;0;1;1;1;0.176;0.9
1;0;1.2;1200;6;0;0;0;0;1;1;0;0;13.75793722;-88.95573279;660;0;1;1;1;1;1;1;0.68024;4.33
1;0;0.35;350;5;0;1;0;0;0;1;0;0;13.6018868;-89.468457;688;0;1;1;1;1;1;0;0.55;0.7128
1;0;1;200;25.3;0;1;0;0;0;0;0;0;13.51788167;-88.87308833;593.9;25;1;1;1;1;1;1;1.10792;13.92
1;0;1;50;6;0;1;0;0;0;0;0;0;13.6003933;-88.957509;497;0;1;1;1;1;1;1;0.30184;2.35
1;0;0.7;300;5;0;1;0;0;0;1;0;0;13.511638;-89.438829;47;0;1;1;1;1;1;0;0.132;0.3036
1;0;0.7;625;21;0;1;0;0;0;0;1;0;13.759625;-89.654043;498;0;1;1;1;1;0;1;1.33672;4.22664
1;1;1.2;900;6.6;0;1;0;0;0;1;0;0;13.620568;-88.819902;815;22.22;0;1;0;1;1;1;0.2332;1.82
1;0;1.5;650;3;1;1;0;0;0;0;0;0;13.435069;-88.914503;33;0;1;1;1;1;1;1;1.0604;6.3
1;0;0.65;300;9.7;0;1;0;0;0;1;1;0;13.4117051;-88.516688;389;0;1;1;1;0;1;0;0.08008;0.91
1;0;1;900;11;0;0;0;0;0;1;0;0;13.92745;-88.643963;582;0;0;0;0;1;1;1;0.57992;4.06
1;0;1;150;6;0;1;0;0;0;0;0;0;13.6107336;-88.922049;690;0;1;1;1;0;1;1;0.15136;1.356667
1;0;0.7;750;6;0;1;0;0;0;0;0;0;13.66559027;-88.87147874;740;0;1;1;1;1;1;1;0.26136;1.64
1;0;1.4;1350;7;0;1;0;0;0;1;0;0;13.846009;-89.290405;414;52.07;1;0;0;1;1;1;1.41064;6.85696
1;0;0.7;700;7;0;0;0;0;0;1;1;0;13.8559859;-88.942867;545;100;1;1;1;1;1;0;1.0516;1.4212
1;0;0.14;150;4;0;1;0;0;0;0;0;0;13.4908461;-88.394596;656;0;1;1;0;0;1;1;0.3608;2
1;1;0.5;300;5;0;1;0;0;0;0;0;0;13.5124216;-88.38623;519;0;1;1;0;1;1;1;0.8668;4.65
1;0;0.35;425;7;0;0;0;0;0;0;1;0;13.747342;-89.666439;434;0;1;1;1;1;0;1;0.70488;2.2176
1;0;0.7;550;5;0;1;0;0;0;0;0;0;13.816889;-89.09061;605;0;1;1;1;1;1;0;0.77;0.8008
1;1;0.7;650;6;0;1;0;0;0;0;0;0;13.764488;-89.721994;469;0;1;1;1;1;0;0;1.7952;5.56688
1;0;3;1500;5.3;0;0;0;0;1;1;0;0;13.803878;-88.233978;957;0;0;1;1;1;1;1;1.23112;4.4
1;1;0.7;300;5;0;0;0;0;0;1;1;0;13.8560289;-88.942948;544;0;1;1;1;1;1;0;0.704;0.9196
1;0;1;1040;6;0;1;0;0;0;0;0;0;13.727542;-89.454825;626;0;1;0;0;1;1;1;0.77792;3.98376
1;0;0.3;350;5;0;0;0;0;1;1;0;0;13.27608;-88.40868;15;0;1;1;1;1;1;1;0.12056;0.55
1;0;0.22;250;6;0;0;0;0;1;1;0;0;13.9256229;-88.091379;823;0;1;1;1;0;1;1;0;0.2
1;0;0.12;150;4;0;0;1;0;0;1;0;0;13.74507333;-88.16086333;928;0;1;1;1;1;1;1;0.15664;1.012
1;1;0.7;300;5;0;1;0;0;0;1;1;0;14.1525735;-89.657698;895;0;1;0;1;1;1;1;1.22584;3.5024
1;0;0.3;200;5;0;1;0;0;0;0;1;0;13.7832312;-88.949428;637;0;1;1;1;1;1;1;0.10912;0.81
1;0;0.36;150;4;0;0;0;0;0;1;0;0;13.695847;-88.27633;797;0;0;0;1;1;1;1;0.02288;0.12
1;0;3;3000;8;0;0;0;0;0;1;1;0;13.6672222;-89.66472222;193;0;1;1;1;1;1;0;5.6628;34.27688
1;1;1.4;1200;5.2;0;0;0;0;0;1;0;0;13.9589722;-89.51191829;672;0;1;0;1;1;1;0;2.05832;5.88104
1;0;1;800;5;0;1;0;0;0;0;1;0;13.4931814;-88.417369;897;0;1;0;0;0;1;1;0.6204;2.95
1;1;1.2;1200;61;0;1;0;0;0;0;1;0;13.702732;-88.951163;676;0;1;1;1;1;1;1;0.81488;4.77
1;0;0.5;500;6;1;0;1;0;0;0;0;0;13.67705567;-89.74657072;151;0;1;1;1;1;1;0;0.7964;5.2052
1;0;5.59;4500;6;0;0;1;0;0;1;0;0;13.4955404;-88.675651;29;100;1;1;1;1;1;1;2.08912;24.5
1;1;0.7;500;7;0;0;0;0;0;1;0;0;13.90942333;-89.037305;491;0;1;1;1;1;1;0;1.4608;2.50448
1;0;0.5;425;7;0;1;0;0;0;0;1;0;13.769056;-89.652689;584;0;1;1;1;1;0;0;1.19416;3.29648
