Año;Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
1;Hombre;0.7;500.0;12.0;No;No;No;No;Si;Si;No;No;13.3917;-88.5838;665.9;0.00;Si;Si;Si;No;Si;Si;0.28512;5.26
1;Hombre;0.4;200.0;3.0;Si;Si;No;No;No;No;No;No;13.736948;-89.419094;480;0.00;Si;No;Si;No;No;No;0.04928;0.26928
1;Hombre;0.6;550.0;8.0;No;Si;No;No;No;No;Si;No;13.618116;-88.8625;922;0.00;Si;Si;Si;Si;Si;No;0.49456;3.09
1;Hombre;2;900.0;4.0;No;Si;No;No;No;No;No;No;13.90877;-89.5823;1022;0.00;Si;Si;Si;Si;Si;No;1.34552;3.85792
1;Mujer;0.35;300.0;4.0;No;Si;No;No;No;No;No;No;13.508608;-88.51662;943;0.00;Si;Si;No;Si;Si;Si;0.07656;0.41976
1;Hombre;1;250.0;8.0;Si;No;No;No;No;No;No;No;13.7553;-89.4017;475;0.00;Si;No;No;Si;Si;No;0.85536;3.41792
1;Hombre;2.8;200.0;2.0;No;No;No;No;Si;Si;No;No;13.5883;-89.2336;624;100.00;Si;Si;Si;No;Si;No;1.4608;3.45312
1;Hombre;0.13;150.0;7.0;No;No;No;No;No;Si;No;No;13.5601;-88.0951;166;0.00;Si;Si;Si;No;Si;Si;0.11176;1
1;Hombre;0.7;400.0;5.0;No;Si;No;No;No;Si;Si;No;14.1506246;-89.660322;879;0.00;Si;Si;Si;Si;Si;No;0.95568;2.72536
1;Mujer;0.6;50.0;4.0;No;Si;No;No;No;Si;No;No;13.4975317;-88.383035;620;0.00;Si;Si;No;Si;Si;Si;0.176;0.9
1;Hombre;1.2;1200.0;6.0;No;No;No;No;Si;Si;No;No;13.75793722;-88.95573279;660;0.00;Si;Si;Si;Si;Si;Si;0.68024;4.33
1;Hombre;0.35;350.0;5.0;No;Si;No;No;No;Si;No;No;13.6018868;-89.468457;688;0.00;Si;Si;Si;Si;Si;No;0.55;0.7128
1;Hombre;1;200.0;25.3;No;Si;No;No;No;No;No;No;13.51788167;-88.87308833;593.9;25.00;Si;Si;Si;Si;Si;Si;1.10792;13.92
1;Hombre;1;50.0;6.0;No;Si;No;No;No;No;No;No;13.6003933;-88.957509;497;0.00;Si;Si;Si;Si;Si;Si;0.30184;2.35
1;Hombre;0.7;300.0;5.0;No;Si;No;No;No;Si;No;No;13.511638;-89.438829;47;0.00;Si;Si;Si;Si;Si;No;0.132;0.3036
1;Hombre;0.7;625.0;21.0;No;Si;No;No;No;No;Si;No;13.759625;-89.654043;498;0.00;Si;Si;Si;Si;No;Si;1.33672;4.22664
1;Mujer;1.2;900.0;6.6;No;Si;No;No;No;Si;No;No;13.620568;-88.819902;815;22.22;No;Si;No;Si;Si;Si;0.2332;1.82
1;Hombre;1.5;650.0;3.0;Si;Si;No;No;No;No;No;No;13.435069;-88.914503;33;0.00;Si;Si;Si;Si;Si;Si;1.0604;6.3
1;Hombre;0.65;300.0;9.7;No;Si;No;No;No;Si;Si;No;13.4117051;-88.516688;389;0.00;Si;Si;Si;No;Si;No;0.08008;0.91
1;Hombre;1;900.0;11.0;No;No;No;No;No;Si;No;No;13.92745;-88.643963;582;0.00;No;No;No;Si;Si;Si;0.57992;4.06
1;Hombre;1;150.0;6.0;No;Si;No;No;No;No;No;No;13.6107336;-88.922049;690;0.00;Si;Si;Si;No;Si;Si;0.15136;1.356667
1;Hombre;0.7;750.0;6.0;No;Si;No;No;No;No;No;No;13.66559027;-88.87147874;740;0.00;Si;Si;Si;Si;Si;Si;0.26136;1.64
1;Hombre;1.4;1350.0;7.0;No;Si;No;No;No;Si;No;No;13.846009;-89.290405;414;52.07;Si;No;No;Si;Si;Si;1.41064;6.85696
1;Hombre;0.7;700.0;7.0;No;No;No;No;No;Si;Si;No;13.8559859;-88.942867;545;100.00;Si;Si;Si;Si;Si;No;1.0516;1.4212
1;Hombre;0.14;150.0;4.0;No;Si;No;No;No;No;No;No;13.4908461;-88.394596;656;0.00;Si;Si;No;No;Si;Si;0.3608;2
