Sexo productor;Area (Ha);Total_Arboles;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
Hombre;11;11000;4;No;Si;No;No;No;No;No;No;13.5139;-88.518175;827;2.727272727;Si;Si;No;Si;Si;Si;1.35872;7.542856
Hombre;2;900;4;No;Si;No;No;No;No;No;No;13.90877;-89.5823;1022;0;Si;Si;Si;Si;Si;No;2.09264;11.067479
Hombre;6;3000;7;No;Si;No;No;No;No;Si;No;13.6093246;-88.886038;810;0;No;Si;No;Si;No;Si;3.12752;18.08
Hombre;1.2;1200;6;No;No;No;No;Si;Si;No;No;13.75793722;-88.95573279;660;0;Si;Si;Si;Si;Si;Si;1.54792;9
Hombre;11.5;11500;2.4;No;No;No;No;No;Si;No;No;13.9329243;-88.634224;769;34.7826087;Si;Si;Si;Si;Si;Si;2.28624;13.51
Mujer;1.2;900;6.6;No;Si;No;No;No;Si;No;No;13.620568;-88.819902;815;22.22222222;No;Si;Si;No;Si;Si;0.61864;3.62
Hombre;1.5;650;4;Si;Si;No;No;No;No;No;No;13.435069;-88.914503;33;0;Si;Si;Si;Si;Si;Si;1.0736;8.2
Hombre;17.47;17500;4.1;No;No;No;No;Si;Si;No;No;13.9613657;-89.189808;298;95;No;Si;No;No;No;No;10.57936;0
Hombre;1.4;1350;7;No;Si;No;No;No;Si;No;No;13.846009;-89.290405;414;52.07407407;Si;No;No;Si;Si;No;2.59864;12.683278
Hombre;13;11000;6;No;No;No;No;No;Si;No;No;13.803529;-88.173576;779;0;Si;Si;Si;No;Si;Si;2.2792;17.815126
Hombre;13.3;7750;6.4;No;Si;No;No;No;No;Si;No;13.458779;-88.536863;949;3.225806452;Si;Si;Si;Si;Si;Si;0.33352;14.64
Hombre;3;1500;5.3;No;No;No;No;Si;Si;No;No;13.803878;-88.233978;957;0;Si;Si;Si;Si;Si;Si;0.63712;4.18
Hombre;3;3000;8;No;No;No;No;No;Si;Si;No;13.6672222;-89.66472222;193;0;Si;Si;Si;Si;Si;No;15.19408;63.052436
Mujer;1.4;1200;5.2;No;No;No;No;No;Si;No;No;13.9589722;-89.51191829;672;0;Si;Si;Si;Si;Si;No;1.84008;9.3121
Mujer;1.2;1200;61;No;Si;No;No;No;No;Si;No;13.702732;-88.951163;676;0;Si;Si;Si;Si;No;Si;1.21968;7.3
Hombre;1.75;500;14;No;No;No;No;Si;Si;No;No;13.3918;-88.5846;786.9;0;Si;Si;Si;Si;Si;Si;0.26488;6.9
Hombre;1.5;1000;5;No;No;No;No;No;Si;No;No;13.903018;-89.050313;565;0;Si;Si;Si;Si;No;No;1.45728;4.86958
Hombre;1.25;500;6;No;Si;No;No;No;No;No;No;13.6111821;-88.907823;834;0;Si;Si;Si;Si;Si;Si;0.23232;5.03
Mujer;2;1800;8;No;No;No;No;Si;Si;No;No;13.673864;-89.434867;974;0;Si;Si;No;Si;Si;No;4.13864;19.149245
Hombre;1.4;1100;6;No;Si;No;No;No;No;Si;No;13.6004287;-88.875613;991;0;Si;Si;Si;Si;Si;Si;1.2848;7.5
Hombre;2;2000;3.6;Si;Si;No;No;No;No;No;No;13.47479817;-89.09598265;55;37.5;Si;Si;Si;Si;Si;No;1.3728;10.52
Hombre;1.5;500;13;No;Si;No;No;No;No;No;No;13.32619212;-88.4192077;65;0;Si;Si;No;Si;Si;Si;0.14432;4.81
Hombre;14;14000;8.8;Si;Si;No;No;No;Si;No;No;13.75402833;-89.67589;469;10.71428571;Si;Si;Si;Si;Si;No;57.4816;194.334875
Hombre;5;3000;4;No;Si;No;No;No;No;Si;No;13.6228;-89.2958;754;0;Si;Si;Si;Si;No;No;1.5356;8.103952
Hombre;4.2;3800;4.9;No;Si;No;No;No;No;No;No;13.7744177;-89.17045;444;5.263157895;Si;Si;Si;Si;Si;No;1.98704;11.73
Hombre;1.2;1200;6;Si;No;Si;No;No;No;No;No;13.921778;-89.832917;8;0;Si;Si;Si;Si;No;No;3.7884;15.20311
Hombre;4.2;4000;5;No;Si;No;No;No;No;No;No;13.725098;-89.031638;698;0;Si;Si;Si;Si;Si;Si;2.88464;17.05
Hombre;2.8;1800;6;No;No;No;No;No;Si;No;No;13.8880355;-88.957344;399;0;Si;Si;Si;Si;No;No;0.8316;2.92563
Hombre;2.5;200;6;No;Si;No;No;No;No;No;No;13.465375;-88.38033;490;0;Si;Si;Si;No;Si;Si;0.21384;1.44
