Year;Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Temperatura ;lluvia;Perdidas (qq);Produccion efectiva (qq)
1;Hombre;0.7;500;12;No;No;No;No;Si;Si;No;No;13.3917;-88.5838;665.9;0;Si;Si;Si;No;Si;Si;22;42;0.28512;5.26
1;Hombre;0.4;200;3;Si;Si;No;No;No;No;No;No;13.736948;-89.419094;480;0;Si;No;Si;No;No;No;23;33;0.04928;0.26928
1;Hombre;0.6;550;8;No;Si;No;No;No;No;Si;No;13.618116;-88.8625;922;0;Si;Si;Si;Si;Si;No;22;1;0.49456;3.09
1;Hombre;2;900;4;No;Si;No;No;No;No;No;No;13.90877;-89.5823;1022;0;Si;Si;Si;Si;Si;No;23;75;1.34552;3.85792
1;Mujer;0.35;300;4;No;Si;No;No;No;No;No;No;13.508608;-88.51662;943;0;Si;Si;No;Si;Si;Si;30;67;0.07656;0.41976
1;Hombre;1;250;8;Si;No;No;No;No;No;No;No;13.7553;-89.4017;475;0;Si;No;No;Si;Si;No;28;38;0.85536;3.41792
1;Hombre;2.8;200;2;No;No;No;No;Si;Si;No;No;13.5883;-89.2336;624;100;Si;Si;Si;No;Si;No;30;134;1.4608;3.45312
1;Hombre;0.13;150;7;No;No;No;No;No;Si;No;No;13.5601;-88.0951;166;0;Si;Si;Si;No;Si;Si;26;16;0.11176;1
1;Hombre;0.7;400;5;No;Si;No;No;No;Si;Si;No;14.1506246;-89.660322;879;0;Si;Si;Si;Si;Si;No;20;53;0.95568;2.72536
1;Mujer;0.6;50;4;No;Si;No;No;No;Si;No;No;13.4975317;-88.383035;620;0;Si;Si;No;Si;Si;Si;28;112;0.176;0.9
1;Hombre;1.2;1200;6;No;No;No;No;Si;Si;No;No;13.75793722;-88.95573279;660;0;Si;Si;Si;Si;Si;Si;30;146;0.68024;4.33
1;Hombre;0.35;350;5;No;Si;No;No;No;Si;No;No;13.6018868;-89.468457;688;0;Si;Si;Si;Si;Si;No;26;3;0.55;0.7128
1;Hombre;1;200;25.3;No;Si;No;No;No;No;No;No;13.51788167;-88.87308833;593.9;25;Si;Si;Si;Si;Si;Si;30;55;1.10792;13.92
1;Hombre;1;50;6;No;Si;No;No;No;No;No;No;13.6003933;-88.957509;497;0;Si;Si;Si;Si;Si;Si;24;5;0.30184;2.35
1;Hombre;0.7;300;5;No;Si;No;No;No;Si;No;No;13.511638;-89.438829;47;0;Si;Si;Si;Si;Si;No;23;10;0.132;0.3036
1;Hombre;0.7;625;21;No;Si;No;No;No;No;Si;No;13.759625;-89.654043;498;0;Si;Si;Si;Si;No;Si;29;74;1.33672;4.22664
1;Mujer;1.2;900;6.6;No;Si;No;No;No;Si;No;No;13.620568;-88.819902;815;22.22;No;Si;No;Si;Si;Si;23;149;0.2332;1.82
1;Hombre;1.5;650;3;Si;Si;No;No;No;No;No;No;13.435069;-88.914503;33;0;Si;Si;Si;Si;Si;Si;30;14;1.0604;6.3
1;Hombre;0.65;300;9.7;No;Si;No;No;No;Si;Si;No;13.4117051;-88.516688;389;0;Si;Si;Si;No;Si;No;22;49;0.08008;0.91
