Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
Hombre;2;900;4;No;Si;No;No;No;No;No;No;13.90877;-89.5823;1022;0;Si;Si;Si;Si;Si;No;1.34552;3.85792
Hombre;2.8;200;2;No;No;No;No;Si;Si;No;No;13.5883;-89.2336;624;100;Si;Si;Si;No;Si;No;1.4608;3.45312
Hombre;6;3000;7;No;Si;No;No;No;No;Si;No;13.6093246;-88.886038;810;0;Si;No;Si;No;No;Si;1.72744;10.9
Hombre;1.2;1200;6;No;No;No;No;Si;Si;No;No;13.75793722;-88.95573279;660;0;Si;Si;Si;Si;Si;Si;0.68024;4.33
Hombre;11.5;11500;2.4;No;No;No;No;No;Si;No;No;13.9329243;-88.634224;769;34.7826087;Si;Si;Si;Si;Si;Si;1.36136;8.25904
Mujer;1.2;900;6.6;No;Si;No;No;No;Si;No;No;13.620568;-88.819902;815;22.22222222;No;Si;No;Si;Si;Si;0.2332;1.82
Hombre;1.5;650;3;Si;Si;No;No;No;No;No;No;13.435069;-88.914503;33;0;Si;Si;Si;Si;Si;Si;1.0604;6.3
Hombre;1.4;1350;7;No;Si;No;No;No;Si;No;No;13.846009;-89.290405;414;52.07407407;Si;No;No;Si;Si;Si;1.41064;6.85696
Hombre;13;11000;6;No;No;No;No;No;Si;No;No;13.803529;-88.173576;779;0;Si;Si;Si;No;Si;Si;4.7168;30.712
Hombre;13.3;7750;6.4;No;Si;No;No;No;No;Si;No;13.458779;-88.536863;949;3.225806452;No;No;Si;No;Si;Si;0.16808;5.2
Hombre;3;1500;5.3;No;No;No;No;Si;Si;No;No;13.803878;-88.233978;957;0;No;Si;Si;Si;Si;Si;1.23112;4.4
Hombre;3;3000;8;No;No;No;No;No;Si;Si;No;13.6672222;-89.66472222;193;0;Si;Si;Si;Si;Si;No;5.6628;34.27688
Mujer;1.4;1200;5.2;No;No;No;No;No;Si;No;No;13.9589722;-89.51191829;672;0;Si;No;Si;Si;Si;No;2.05832;5.88104
Mujer;1.2;1200;61;No;Si;No;No;No;No;Si;No;13.702732;-88.951163;676;0;Si;Si;Si;Si;Si;Si;0.81488;4.77
Hombre;5.59;4500;6;No;No;Si;No;No;Si;No;No;13.4955404;-88.675651;29;100;Si;Si;Si;Si;Si;Si;2.08912;24.5
Hombre;1.75;500;13;No;No;No;No;Si;Si;No;No;13.3918;-88.5846;786.9;0;Si;Si;Si;Si;Si;Si;0.30008;9.266667
Hombre;1.5;1000;5;No;No;No;No;No;Si;No;No;13.903018;-89.050313;565;0;Si;Si;Si;Si;Si;No;0.9636;3.7532
Hombre;1.25;500;6;No;Si;No;No;No;No;No;No;13.6111821;-88.907823;834;0;Si;Si;Si;Si;Si;Si;0.2728;3.23
Mujer;2;1800;8;No;No;No;No;Si;Si;No;No;13.673864;-89.434867;974;0;Si;No;No;Si;Si;Si;1.22408;5.89688
Hombre;1.4;1100;6;No;Si;No;No;No;No;Si;No;13.6004287;-88.875613;991;0;Si;Si;Si;Si;Si;Si;0.44616;3.46
Hombre;3.5;2500;8;Si;Si;No;No;No;Si;No;No;13.70690167;-89.71488;220;100;Si;Si;Si;Si;Si;No;5.34952;28.20576
Hombre;2;2000;3.6;Si;Si;No;No;No;No;No;No;13.47479817;-89.09598265;55;37.5;Si;Si;Si;Si;Si;No;1.19592;8.33
Hombre;1.5;500;13;No;Si;No;No;No;No;No;No;13.32619212;-88.4192077;65;0;Si;Si;Si;No;Si;Si;0.19976;3.66
Hombre;14;14000;8.8;Si;Si;No;No;No;Si;No;No;13.75402833;-89.67589;469;10.71428571;Si;Si;Si;Si;Si;No;22.69784;102.35544
Hombre;5;3000;4;No;Si;No;No;No;No;Si;No;13.6228;-89.2958;754;0;Si;Si;Si;Si;Si;No;1.5312;4.90512
Hombre;4.2;3800;4.9;No;Si;No;No;No;No;No;No;13.7744177;-89.17045;444;5.263157895;Si;Si;Si;Si;Si;No;0.99088;5.99
Hombre;1.2;1200;6;Si;No;Si;No;No;No;No;No;13.921778;-89.832917;8;0;No;Si;Si;Si;No;No;1.22848;6.46712
Hombre;4.2;4000;5;No;Si;No;No;No;No;No;No;13.725098;-89.031638;698;0;Si;Si;No;Si;Si;Si;1.27424;8.09
Hombre;2.8;1800;6;No;No;No;No;No;Si;No;No;13.8880355;-88.957344;399;0;Si;Si;Si;Si;Si;No;0.858;1.4168
Hombre;2.5;200;5;No;Si;No;No;No;No;No;No;13.465375;-88.38033;490;0;Si;Si;Si;No;Si;Si;0.36168;1.95
Hombre;4;2520;4;No;Si;No;No;No;No;No;No;13.58846444;-88.94097729;554;0;Si;Si;Si;Si;Si;Si;0.46112;4.48
Hombre;2;1800;6;Si;Si;No;No;No;Si;No;No;13.7034896;-89.714855;215;0;Si;Si;Si;Si;Si;No;3.18384;15.97816
Hombre;1.5;470;4;Si;No;No;No;No;Si;No;No;13.836;-88.602277;585;0;Si;Si;Si;Si;Si;Si;0.57024;3.07912
Hombre;7.35;8158;6.7;Si;Si;No;No;No;No;No;No;13.73114229;-89.4359705;491;100;Si;Si;Si;Si;Si;Si;29.8716;160.54192
Hombre;10;7500;4.6;No;No;No;No;No;Si;Si;No;13.7869;-89.5164;591;20;Si;Si;Si;Si;No;No;0.69344;3.4584
Hombre;4.9;2500;6;No;Si;No;No;No;No;Si;No;14.15520573;-89.6863274;1001;0;Si;No;Si;Si;Si;No;4.64552;13.25544
Hombre;2.8;2000;4.6;No;Si;No;No;No;Si;No;No;13.928297;-89.812753;760;20;Si;Si;Si;Si;Si;No;2.7324;13.3628
Hombre;2.5;450;6;No;Si;No;No;No;Si;Si;No;13.42902249;-88.5109981;459;0;Si;Si;Si;No;Si;Si;0.12496;1.74
Hombre;1.2;1200;5.5;No;Si;No;No;No;No;Si;No;13.687212;-88.962839;618;0;Si;Si;Si;Si;No;Si;0.41184;2.61
Hombre;4.8;900;7;No;Si;No;No;No;No;No;No;13.5809892;-88.935497;547;0;No;Si;No;Si;Si;Si;0.242;2.9
Hombre;2.1;1300;5;No;Si;No;No;No;No;No;No;13.616475;-89.14967;809;0;Si;Si;Si;Si;Si;Si;0.27368;7.01
Mujer;1.5;400;5;No;No;No;No;No;Si;No;No;13.8880791;-88.959215;379;0;Si;Si;Si;Si;Si;No;0.6116;0.8624
Mujer;2.5;400;6;No;No;No;No;Si;Si;No;No;13.505021;-88.32357;729;0;Si;Si;Si;Si;No;Si;0.45936;2.31
Hombre;1.5;80;6;No;Si;No;No;No;No;No;No;13.6048378;-88.92514;666;0;Si;Si;Si;No;Si;Si;0.22352;1.14
Hombre;9.8;10800;8;No;Si;No;No;No;No;Si;No;13.654061;-88.843377;574;100;Si;Si;Si;Si;Si;Si;7.42544;41.15408
Hombre;3.5;1433;8;No;Si;No;No;No;No;No;No;13.8999875;-89.856238;887;0;Si;Si;Si;Si;Si;No;4.97904;23.21968
Hombre;4.19;5150;5.6;Si;No;No;Si;No;No;No;Si;13.3342009;-88.7724;9;38.83495146;Si;Si;Si;Si;Si;Si;1.22056;10.9
Hombre;1.85;2025;4;No;No;No;No;Si;Si;No;No;13.9016608;-89.542454;997;100;Si;No;Si;Si;Si;No;4.5056;12.8744
Hombre;1.5;1600;9;Si;No;No;No;No;No;No;No;13.730753;-89.667272;380;0;Si;Si;Si;No;No;Si;2.66112;11.37
Hombre;5.24;5437;5.8;Si;No;No;Si;No;No;No;Si;13.3528614;-88.735018;16;18.39249586;Si;Si;Si;Si;Si;No;1.81016;21.1
Mujer;1.4;1500;6;No;Si;No;No;No;No;Si;No;13.6231117;-88.860226;847;0;No;Si;Si;Si;No;No;0.87296;5.41
Hombre;2;600;5;No;Si;No;No;No;No;No;No;13.468018;-88.879255;71;0;Si;Si;Si;Si;Si;Si;1.41856;8.55
Hombre;2.5;1500;5;No;Si;No;No;No;No;No;No;13.5196594;-88.821027;267;0;Si;Si;Si;Si;Si;Si;1.24256;10.85
Hombre;4;3950;5.7;Si;No;No;Si;No;No;No;Si;13.348937;-88.735581;10;15.82278481;Si;Si;Si;Si;Si;No;1.1616;14.25
Hombre;6;700;14.2;No;Si;No;No;No;No;No;No;13.5438087;-88.870833;456;0;Si;Si;Si;Si;Si;Si;1.3332;9.4
Hombre;1.75;1700;4;No;Si;No;No;No;Si;No;No;13.931565;-89.568684;857;0;Si;Si;Si;Si;Si;No;3.2516;9.29808
Hombre;2.5;2350;26.4;No;Si;No;No;No;No;No;No;13.61681;-88.91105333;716;0;Si;Si;Si;Si;Si;Si;0.45672;17.23
Hombre;2.5;2600;10;Si;Si;No;No;No;Si;No;No;13.7047462;-89.714227;212;100;Si;Si;Si;Si;Si;No;4.99488;26.80832
Mujer;1.2;1000;32;No;Si;No;No;No;No;Si;No;13.62882;-88.873072;678;0;Si;Si;Si;No;Si;Si;1.32352;8.38464
Hombre;27;26000;8;Si;Si;No;No;No;No;No;No;13.389457;-88.911459;6;100;Si;Si;Si;Si;Si;Si;47.7576;25
Hombre;2.5;2100;3;No;Si;No;No;No;Si;No;No;13.9662051;-89.668249;765;0;Si;Si;Si;Si;Si;No;2.55464;7.30136
Mujer;1.05;300;18;No;No;No;No;Si;Si;No;No;13.3916;-88.5836;771;0;Si;No;Si;No;Si;Si;0.22;2.43
Hombre;10.48;11250;5.8;Si;No;No;Si;No;No;No;Si;13.3424695;-88.724696;18;17.77777778;Si;Si;Si;Si;Si;No;2.1164;23.5
Hombre;3;3000;8;Si;Si;No;No;No;No;No;No;13.73392;-89.680593;380;50;Si;Si;Si;No;No;Si;15.16328;46.64
Mujer;5;1000;4;No;Si;No;No;No;No;No;No;13.4685917;-88.380413;507;0;No;No;Si;Si;Si;Si;0.81576;4.45
Hombre;1.05;600;13.5;No;Si;No;No;No;No;No;No;13.3724;-89.032;918.8;0;Si;Si;Si;No;Si;Si;0.35992;5.42
Mujer;4.19;4350;5.9;Si;No;No;Si;No;No;No;Si;13.351173;-88.731821;7;8.045977011;Si;Si;Si;Si;Si;No;1.32264;17.43
Mujer;1.4;600;16;No;Si;No;No;No;No;Si;No;13.756859;-89.594405;596;0;Si;Si;Si;Si;No;No;1.47312;4.70624
Hombre;1.4;850;5;No;No;No;No;No;Si;No;No;13.856;-89.471;595;0;Si;Si;Si;Si;Si;No;0.946;1.3728
Hombre;1.05;1100;6;No;Si;No;No;No;No;No;No;13.7715296;-89.081254;655;0;Si;Si;Si;Si;Si;No;1.7732;6.1248
Hombre;1.4;500;5;No;No;No;No;Si;Si;No;No;13.8881281;-88.963857;369;0;Si;Si;Si;Si;Si;No;0.3608;1.0252
Hombre;2.1;2500;4;No;Si;No;No;No;No;Si;No;13.6235499;-88.875549;705;0;Si;Si;Si;Si;Si;Si;0.60808;4.62
Hombre;1.4;500;6;No;Si;No;No;No;No;No;No;13.788365;-89.1105;605;0;Si;Si;Si;Si;Si;No;1.3948;3.05448
Hombre;1.4;250;2;Si;No;Si;No;No;Si;No;No;14.0160221;-89.192502;273;0;Si;Si;Si;Si;Si;No;0.946;2.3584
Hombre;3.5;3100;21;No;Si;No;No;No;No;Si;No;13.760663;-89.655201;507;0;Si;Si;Si;Si;No;Si;4.0172;12.81632
Hombre;10.5;10500;13;Si;No;No;No;No;Si;No;No;13.598874;-88.630359;35;100;Si;Si;Si;Si;No;Si;55.47256;66.21296
Hombre;5.6;5000;6.4;No;No;No;No;No;Si;No;No;13.983404;-89.517919;607;42;Si;No;Si;Si;Si;Si;5.10928;15.44488
Hombre;4;3850;8;No;No;No;No;No;Si;Si;No;13.716707;-89.676256;316;22.07792208;Si;Si;Si;Si;No;No;2.71744;11.6
Hombre;1.4;1500;8;Si;Si;No;No;No;No;No;No;13.688156;-89.43955;910;0;Si;No;No;Si;Si;Si;3.09584;14.90632
Hombre;1.4;900;7.7;No;Si;No;No;No;No;No;No;13.494343;-88.442876;858;0;Si;Si;No;No;Si;Si;0.10472;4.04
Hombre;2.1;1200;5.3;Si;Si;No;No;No;Si;No;No;13.529087;-88.531897;556;16.66666667;Si;Si;Si;Si;Si;Si;0.09416;3.33
Hombre;1.5;275;15;No;Si;No;No;No;No;No;No;13.6257742;-88.923713;616;0;Si;Si;Si;Si;Si;Si;0.23936;4.13
Hombre;1.2;1290;5;No;No;No;No;Si;Si;No;No;13.712295;-89.724821;224;100;Si;No;Si;Si;No;Si;1.36576;4.1668
Hombre;1.4;650;6;Si;Si;No;No;No;No;Si;No;13.443879;-89.186468;9;0;Si;Si;Si;Si;Si;No;0.66;1.0824
Hombre;4.19;4662;5.5;Si;No;No;Si;No;No;No;Si;13.3428121;-88.76537;11;49.33504934;Si;Si;Si;Si;Si;Si;1.3156;16.85
Hombre;1.4;700;6;No;No;No;No;No;Si;Si;No;13.8553367;-88.9424;544;0;Si;Si;Si;Si;Si;No;0.594;0.8976
Hombre;1.4;900;5;No;No;No;No;No;Si;No;No;13.8586584;-88.961333;532;0;Si;Si;Si;Si;Si;No;0.616;1.0912
Hombre;1.5;600;6;No;No;No;No;Si;Si;No;No;13.651274;-88.97704;706;0;Si;Si;Si;No;Si;Si;0.28424;2.65
