Sexo productor;Area (Ha);total arboles;Total de injertos;Edad promedio plantas patron;Edad promedio plantas injerto;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
Hombre;0.7;500;0;12;;12;No;No;No;No;Si;Si;No;No;13.3917;-88.5838;665.9;No;Si;Si;Si;No;Si;Si;0.28512;5.26
Hombre;0.4;200;0;3;;3;Si;Si;No;No;No;No;No;No;13.736948;-89.419094;480;No;Si;No;Si;No;No;No;0.04928;0.26928
Hombre;0.6;550;0;8;;8;No;Si;No;No;No;No;Si;No;13.618116;-88.8625;922;No;Si;Si;Si;Si;Si;No;0.49456;3.09
Hombre;2;900;0;4;;4;No;Si;No;No;No;No;No;No;13.90877;-89.5823;1022;No;Si;Si;Si;Si;Si;No;1.34552;3.85792
Mujer;0.35;300;0;4;;4;No;Si;No;No;No;No;No;No;13.508608;-88.51662;943;No;Si;Si;No;Si;Si;Si;0.07656;0.41976
Hombre;1;250;0;8;;8;Si;No;No;No;No;No;No;No;13.7553;-89.4017;475;No;Si;No;No;Si;Si;No;0.85536;3.41792
Hombre;2.8;0;200;;2;2;No;No;No;No;Si;Si;No;No;13.5883;-89.2336;624;Si;Si;Si;Si;No;Si;No;1.4608;3.45312
Hombre;6;3000;0;7;;7;No;Si;No;No;No;No;Si;No;13.6093246;-88.886038;810;No;Si;No;Si;No;No;Si;1.72744;10.9
Hombre;0.13;150;0;7;;7;No;No;No;No;No;Si;No;No;13.5601;-88.0951;166;No;Si;Si;Si;No;Si;Si;0.11176;1
Hombre;0.7;400;0;5;;5;No;Si;No;No;No;Si;Si;No;14.1506246;-89.660322;879;No;Si;Si;Si;Si;Si;No;0.95568;2.72536
Mujer;0.6;50;0;4;;4;No;Si;No;No;No;Si;No;No;13.4975317;-88.383035;620;No;Si;Si;No;Si;Si;Si;0.176;0.9
Hombre;1.2;1200;0;6;;6;No;No;No;No;Si;Si;No;No;13.75793722;-88.95573279;660;No;Si;Si;Si;Si;Si;Si;0.68024;4.33
Hombre;0.35;350;0;5;;5;No;Si;No;No;No;Si;No;No;13.6018868;-89.468457;688;No;Si;Si;Si;Si;Si;No;0.55;0.7128
Hombre;1;150;50;32;5;25.3;No;Si;No;No;No;No;No;No;13.51788167;-88.87308833;593.9;Si;Si;Si;Si;Si;Si;Si;1.10792;13.92
Hombre;1;50;0;6;;6;No;Si;No;No;No;No;No;No;13.6003933;-88.957509;497;No;Si;Si;Si;Si;Si;Si;0.30184;2.35
Hombre;11.5;7500;4000;1.6;4;2.4;No;No;No;No;No;Si;No;No;13.9329243;-88.634224;769;Si;Si;Si;Si;Si;Si;Si;1.36136;8.25904
Hombre;0.7;300;0;5;;5;No;Si;No;No;No;Si;No;No;13.511638;-89.438829;47;No;Si;Si;Si;Si;Si;No;0.132;0.3036
Hombre;0.7;625;0;21;;21;No;Si;No;No;No;No;Si;No;13.759625;-89.654043;498;No;Si;Si;Si;Si;No;Si;1.33672;4.22664
Mujer;1.2;700;200;7;5;6.6;No;Si;No;No;No;Si;No;No;13.620568;-88.819902;815;Si;No;Si;No;Si;Si;Si;0.2332;1.82
Hombre;1.5;650;0;3;;3;Si;Si;No;No;No;No;No;No;13.435069;-88.914503;33;No;Si;Si;Si;Si;Si;Si;1.0604;6.3
Hombre;0.65;300;0;9.7;;9.7;No;Si;No;No;No;Si;Si;No;13.4117051;-88.516688;389;No;Si;Si;Si;No;Si;No;0.08008;0.91
Hombre;1;900;0;11;;11;No;No;No;No;No;Si;No;No;13.92745;-88.643963;582;No;No;No;No;Si;Si;Si;0.57992;4.06
Hombre;1;150;0;6;;6;No;Si;No;No;No;No;No;No;13.6107336;-88.922049;690;No;Si;Si;Si;No;Si;Si;0.15136;1.356667
Hombre;0.7;750;0;6;;6;No;Si;No;No;No;No;No;No;13.66559027;-88.87147874;740;No;Si;Si;Si;Si;Si;Si;0.26136;1.64
Hombre;1.4;647;703;8;6;7;No;Si;No;No;No;Si;No;No;13.846009;-89.290405;414;Si;Si;No;No;Si;Si;Si;1.41064;6.85696
Hombre;0.7;0;700;;7;7;No;No;No;No;No;Si;Si;No;13.8559859;-88.942867;545;Si;Si;Si;Si;Si;Si;No;1.0516;1.4212
Hombre;0.14;150;0;4;;4;No;Si;No;No;No;No;No;No;13.4908461;-88.394596;656;No;Si;Si;No;No;Si;Si;0.3608;2
Mujer;0.5;300;0;5;;5;No;Si;No;No;No;No;No;No;13.5124216;-88.38623;519;No;Si;Si;No;Si;Si;Si;0.8668;4.65
Hombre;0.35;425;0;7;;7;No;No;No;No;No;No;Si;No;13.747342;-89.666439;434;No;Si;Si;Si;Si;No;Si;0.70488;2.2176
Hombre;0.7;550;0;5;;5;No;Si;No;No;No;No;No;No;13.816889;-89.09061;605;No;Si;Si;Si;Si;Si;No;0.77;0.8008
Hombre;13;11000;0;6;;6;No;No;No;No;No;Si;No;No;13.803529;-88.173576;779;No;Si;Si;Si;No;Si;Si;4.7168;30.712
Mujer;0.7;650;0;6;;6;No;Si;No;No;No;No;No;No;13.764488;-89.721994;469;No;Si;Si;Si;Si;No;No;1.7952;5.56688
Hombre;13.3;7500;250;6.4;5;6.4;No;Si;No;No;No;No;Si;No;13.458779;-88.536863;949;Si;No;No;Si;No;Si;Si;0.16808;5.2
Hombre;3;1500;0;5.3;;5.3;No;No;No;No;Si;Si;No;No;13.803878;-88.233978;957;No;No;Si;Si;Si;Si;Si;1.23112;4.4
Mujer;0.7;300;0;5;;5;No;No;No;No;No;Si;Si;No;13.8560289;-88.942948;544;No;Si;Si;Si;Si;Si;No;0.704;0.9196
Hombre;1;1040;0;6;;6;No;Si;No;No;No;No;No;No;13.727542;-89.454825;626;No;Si;No;No;Si;Si;Si;0.77792;3.98376
Hombre;0.3;350;0;5;;5;No;No;No;No;Si;Si;No;No;13.27608;-88.40868;15;No;Si;Si;Si;Si;Si;Si;0.12056;0.55
Hombre;0.22;250;0;6;;6;No;No;No;No;Si;Si;No;No;13.9256229;-88.091379;823;No;Si;Si;Si;No;Si;Si;0;0.2
Hombre;0.12;150;0;4;;4;No;No;Si;No;No;Si;No;No;13.74507333;-88.16086333;928;No;Si;Si;Si;Si;Si;Si;0.15664;1.012
Mujer;0.7;300;0;5;;5;No;Si;No;No;No;Si;Si;No;14.1525735;-89.657698;895;No;Si;No;Si;Si;Si;Si;1.22584;3.5024
Hombre;0.3;200;0;5;;5;No;Si;No;No;No;No;Si;No;13.7832312;-88.949428;637;No;Si;Si;Si;Si;Si;Si;0.10912;0.81
Hombre;0.36;150;0;4;;4;No;No;No;No;No;Si;No;No;13.695847;-88.27633;797;No;No;No;Si;Si;Si;Si;0.02288;0.12
Hombre;3;3000;0;8;;8;No;No;No;No;No;Si;Si;No;13.6672222;-89.66472222;193;No;Si;Si;Si;Si;Si;No;5.6628;34.27688
Mujer;1.4;1200;0;5.2;;5.2;No;No;No;No;No;Si;No;No;13.9589722;-89.51191829;672;No;Si;No;Si;Si;Si;No;2.05832;5.88104
Hombre;1;800;0;5;;5;No;Si;No;No;No;No;Si;No;13.4931814;-88.417369;897;No;Si;No;No;No;Si;Si;0.6204;2.95
Mujer;1.2;1200;0;61;;61;No;Si;No;No;No;No;Si;No;13.702732;-88.951163;676;No;Si;Si;Si;Si;Si;Si;0.81488;4.77
Hombre;0.5;500;0;6;;6;Si;No;Si;No;No;No;No;No;13.67705567;-89.74657072;151;No;Si;Si;Si;Si;Si;No;0.7964;5.2052
Hombre;5.59;0;4500;;6;6;No;No;Si;No;No;Si;No;No;13.4955404;-88.675651;29;Si;Si;Si;Si;Si;Si;Si;2.08912;24.5
Mujer;0.7;500;0;7;;7;No;No;No;No;No;Si;No;No;13.90942333;-89.037305;491;No;Si;Si;Si;Si;Si;No;1.4608;2.50448
Hombre;0.5;425;0;7;;7;No;Si;No;No;No;No;Si;No;13.769056;-89.652689;584;No;Si;Si;Si;Si;No;No;1.19416;3.29648
Hombre;1.75;500;0;13;;13;No;No;No;No;Si;Si;No;No;13.3918;-88.5846;786.9;No;Si;Si;Si;Si;Si;Si;0.30008;9.266667
Mujer;0.7;450;0;4;;4;No;Si;No;No;No;No;No;No;13.521559;-88.45975;648;No;Si;Si;No;Si;No;Si;0.30536;1.61744
Hombre;0.2;50;0;5;;5;No;No;No;No;No;Si;No;No;13.7366037;-88.222612;1206;No;Si;Si;Si;Si;No;Si;0.0264;0.176
Hombre;0.4;0;300;;3;3;No;Si;No;No;No;No;No;No;13.4796117;-88.35549;896;Si;Si;Si;Si;Si;Si;Si;0.31768;1.6
Hombre;1;1200;0;6.5;;6.5;No;Si;No;No;No;No;Si;No;13.705905;-88.9508;698;No;Si;Si;Si;Si;Si;Si;0.84392;4.95344
Hombre;0.35;200;0;4;;4;No;Si;No;No;No;No;No;No;13.7431271;-88.945765;708;No;Si;No;Si;No;Si;Si;0.06512;0.53
Hombre;0.63;700;0;4;;4;No;No;No;Si;No;Si;No;Si;13.3287584;-88.712133;13;No;Si;Si;Si;No;No;Si;0.30712;1.67
