No.;Sexo productor;Área (Ha);Patron_Arboles_1;Patron_Edad_1;Patron_Arboles_2;Patron_Edad_2;Patron_Arboles_3;Patron_Edad_3;Patron_Arboles_4;Patron_Edad_4;Injerto_Arboles_1;Injerto_Edad_1;Injerto_Arboles_2;Injerto_Edad_2;Injerto_Arboles_3;Injerto_Edad_3;Injerto_Arboles_4;Injerto_Edad_4;Edad promedio plantas patron;Edad promedio plantas injerto;Edad promedio plantas;Densidad (plantas/Ha);Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje injertación;Aplica poda;Maneja sombra;Fertilización orgánica;Fertilización química;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
1;Hombre;0.7;100;8;400;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;NA;12;714.28571428571433;0;0;0;0;1;1;0;0;13.3917;-88.583799999999997;665.9;0;Si;Si;Si;No;Si;Si;0.28511999999999998;5.26
2;Hombre;0.4;200;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;3;500;1;1;0;0;0;0;0;0;13.736948;-89.419094000000001;480;0;Si;No;Si;No;No;No;4.9279999999999997E-2;0.26928000000000002
3;Hombre;1;1000;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;7;1000;0;1;0;0;0;0;0;0;13.609750999999999;-88.937860000000001;607;0;NA;NA;NA;NA;NA;Si;0.37663999999999997;3.11
4;Hombre;0.6;550;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;8;916.66666666666674;0;1;0;0;0;0;1;0;13.618116000000001;-88.862499999999997;922;0;Si;Si;Si;Si;Si;No;0.49456;3.09
5;Hombre;2;900;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;450;0;1;0;0;0;0;0;0;13.908770000000001;-89.582300000000004;1022;0;Si;Si;Si;Si;Si;No;1.34552;3.85792
6;Mujer;0.35;300;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;857.14285714285722;0;1;0;0;0;0;0;0;13.508608000000001;-88.516620000000003;943;0;Si;Si;No;Si;Si;Si;7.6560000000000003E-2;0.41976000000000002
7;Hombre;1;250;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;8;250;1;0;0;0;0;0;0;0;13.7553;-89.401700000000005;475;0;Si;No;No;Si;Si;No;0.85536000000000001;3.4179200000000001
8;Hombre;2.8;NA;NA;NA;NA;NA;NA;NA;NA;200;2;NA;NA;NA;NA;NA;NA;NA;2;2;71.428571428571431;0;0;0;0;1;1;0;0;13.5883;-89.233599999999996;624;100;Si;Si;Si;No;Si;No;1.4608000000000001;3.4531200000000002
9;Hombre;2.1;800;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;380.95238095238096;0;0;0;0;1;1;0;0;13.7769631;-89.118502000000007;616;0;NA;NA;NA;NA;NA;No;2.97;2.3540000000000001
10;Hombre;6;3000;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;7;500;0;1;0;0;0;0;1;0;13.609324600000001;-88.886037999999999;810;0;Si;No;Si;No;No;Si;1.7274400000000001;10.9
11;Hombre;0.13;150;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;7;1153.8461538461538;0;0;0;0;0;1;0;0;13.5601;-88.095100000000002;166;0;Si;Si;Si;No;Si;Si;0.11176;1
12;Hombre;0.7;400;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;571.42857142857144;0;1;0;0;0;1;1;0;14.1506246;-89.660321999999994;879;0;Si;Si;Si;Si;Si;No;0.95567999999999997;2.7253599999999998
13;Mujer;0.6;50;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;83.333333333333343;0;1;0;0;0;1;0;0;13.4975317;-88.383035000000007;620;0;Si;Si;No;Si;Si;Si;0.17599999999999999;0.9
14;Hombre;1.2;1200;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;1000;0;0;0;0;1;1;0;0;13.757937219;-88.955732789999999;660;0;Si;Si;Si;Si;Si;Si;0.68023999999999996;4.33
