Fecha produccion;ID Productor;Area (Ha);Edad promedio plantas;Departamento;Municipio;Perdidas (qq);Produccion (qq)
2022-04-04;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.29;1
2022-07-05;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.41;1.32
2022-09-07;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.22;1.28
2022-07-09;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.32;1.67
2022-08-10;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.13;1.61
2022-06-11;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.22;1.14
2022-09-13;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.17;0.84
2022-05-14;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.17;1.14
2022-07-14;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.46;1.23
2022-05-18;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.44;1.67
2022-08-18;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.32;1.06
2022-04-19;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.22;1.25
2022-06-20;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.24;1.23
2022-09-21;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.22;0.88
2022-07-22;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.3;1.43
2022-08-24;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.2;1.69
2022-06-25;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.49;1.66
2022-07-25;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.26;1.7
2022-03-28;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.26;0.97
2022-06-28;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.51;1.67
2022-04-29;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.11;1.05
2022-05-30;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.13;1.19
2022-07-31;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.27;1.45
2022-08-31;C2C-AH00101-233;3.06;6;Ahuachapan;Ahuachapan;0.25;0.95
